  9.9999987E-02   0.000000    
  0.2000000      6.6666667E-05
  0.3000000      3.6666667E-04
  0.3999999      1.0666667E-03
  0.4999998      1.8000000E-03
  0.5999997      2.9666666E-03
  0.6999996      4.2333333E-03
  0.7999995      5.5000000E-03
  0.8999994      7.0333332E-03
  0.9999993      8.1000002E-03
   1.099999      8.8666668E-03
   1.199999      1.0800000E-02
   1.299999      1.2033333E-02
   1.399999      1.3733333E-02
   1.499999      1.5766667E-02
   1.599999      1.7433334E-02
   1.699999      1.9533332E-02
   1.799999      2.1000000E-02
   1.899999      2.2600001E-02
   1.999998      2.4633333E-02
   2.099998      2.6133334E-02
   2.199998      2.8033333E-02
   2.299998      2.9666666E-02
   2.399998      3.1433333E-02
   2.499998      3.3366665E-02
   2.599998      3.4733333E-02
   2.699998      3.6266666E-02
   2.799998      3.8300000E-02
   2.899998      3.9366666E-02
   2.999998      4.0466666E-02
   3.099998      4.1733332E-02
   3.199997      4.3066666E-02
   3.299997      4.4366665E-02
   3.399997      4.5600001E-02
   3.499997      4.6533335E-02
   3.599997      4.7499999E-02
   3.699997      4.8266668E-02
   3.799997      4.9166668E-02
   3.899997      4.9866665E-02
   3.999997      5.0666668E-02
   4.099999      5.0633334E-02
   4.200001      5.1066667E-02
   4.300004      5.1600002E-02
   4.400006      5.1633332E-02
   4.500008      5.1633332E-02
   4.600010      5.1833332E-02
   4.700013      5.1233333E-02
   4.800015      5.0666668E-02
   4.900017      4.9866665E-02
   5.000020      4.9333334E-02
